hhid,sex,kq2_b,kq2_c,kq2_d,kq2_e,kq2_f,kq2_g,kq7,kq33_a,kq33_b,kq34,kq37,kq38,kq39,kq40,kq41,kq42
14201,2,4,3,2,1,4,2,1,2,1,2,1,1,1,1,2,1
29014,2,4,2,1,3,4,3,3,2,1,2,2,1,1,4,1,2
23136,2,3,3,1,3,4,3,1,4,1,3,3,1,1,1,2,1
27127,2,3,3,2,4,4,2,2,2,2,4,4,1,2,2,2,1
22742,2,3,2,2,4,3,3,1,2,2,3,2,2,2,2,2,1
27106,2,2,4,2,3,4,2,2,1,1,1,1,1,4,4,5,1
19003,2,3,2,3,3,4,2,1,1,1,2,4,4,1,1,2,1
19025,2,3,2,3,4,3,2,3,2,2,3,2,1,1,2,2,1
39711,2,3,3,1,4,3,2,1,2,1,3,2,1,1,1,1,1
15151,2,4,4,4,3,4,3,1,1,1,2,1,1,2,2,1,1
28133,2,4,4,1,4,4,4,3,4,2,2,4,1,2,2,1,1
22018,2,3,1,2,4,4,1,1,3,2,2,2,1,2,2,1,1
13227,2,4,2,1,1,4,3,3,2,1,2,1,1,1,1,2,1
12125,2,3,1,2,3,3,3,3,1,1,1,1,5,,,,1
14501,2,4,2,1,1,4,3,3,1,1,2,2,1,1,2,2,1
42610,2,2,2,3,3,3,2,1,1,2,3,3,1,2,4,2,1
10226,2,4,4,2,3,3,4,1,3,1,2,2,1,4,4,2,1
29112,2,2,1,2,4,4,2,1,1,1,1,1,1,3,3,2,1
12508,2,4,2,4,4,3,2,1,1,1,2,3,1,1,1,2,1
43202,2,4,3,4,3,2,4,1,2,1,2,4,1,1,2,2,1
10635,2,3,2,2,2,3,2,1,2,1,1,1,1,1,2,1,1
51006,2,3,4,2,4,3,2,1,2,1,1,4,1,1,1,1,1
31011,2,4,4,2,4,3,4,1,3,2,3,2,1,1,4,2,1
43017,2,4,4,4,4,4,4,1,2,2,2,2,1,2,2,1,1
26036,2,1,4,4,4,4,4,1,4,4,3,1,1,2,2,2,1
26619,2,2,2,2,4,2,2,1,1,2,2,1,1,4,4,2,2
26218,2,3,1,2,3,4,1,1,2,2,3,2,1,1,1,1,1
29005,2,3,1,1,4,4,4,3,2,1,2,2,1,4,4,2,1
10224,2,3,3,2,4,2,4,1,2,2,2,3,1,2,2,2,1
33115,2,3,2,3,3,3,4,1,1,1,2,2,1,1,1,1,1
13044,2,3,3,2,2,2,3,1,2,1,2,1,1,1,3,1,1
36706,2,3,4,2,3,2,2,1,2,2,3,3,1,4,3,2,1
25615,2,2,1,2,1,4,2,1,1,2,3,2,1,1,2,1,1
18034,2,3,4,4,4,3,2,1,3,3,3,2,1,4,2,1,1
35133,2,3,1,2,4,4,3,3,1,2,2,3,1,1,1,1,1
29213,2,2,2,2,3,3,2,1,2,1,2,1,1,1,1,1,1
19020,2,4,2,2,1,4,2,3,2,1,2,1,1,2,2,1,1
13120,2,2,4,4,4,4,2,1,2,1,4,2,1,1,4,1,1
36112,2,3,3,2,3,3,3,3,1,1,8,4,1,4,1,1,1
37614,2,4,2,1,3,3,4,1,1,1,3,4,1,1,1,1,1
24532,2,4,4,4,3,3,4,3,4,4,4,4,2,4,4,2,1
15545,2,4,2,2,3,4,2,1,1,1,3,3,1,1,2,1,1
24735,2,4,2,2,4,3,2,1,2,2,4,3,1,2,2,2,1
29212,2,3,4,1,4,4,4,3,1,1,1,1,1,1,4,1,1
35001,2,2,2,2,2,4,2,1,1,1,2,2,2,4,1,2,1
44710,2,3,2,2,3,2,2,1,2,2,1,1,1,2,1,1,2
34105,2,1,2,2,3,4,2,3,1,1,1,4,1,1,3,1,1
24115,2,3,2,1,4,4,1,1,2,2,3,2,1,1,1,1,1
26170,2,3,4,3,4,4,3,3,3,2,2,3,1,4,1,2,1
50519,2,2,2,4,4,4,2,3,2,2,2,4,1,2,1,1,1
41715,2,4,1,2,4,4,2,1,2,1,1,2,1,2,2,2,1
13134,2,4,1,2,1,2,2,3,1,1,2,1,1,1,2,1,1
27227,2,2,1,3,4,4,3,1,2,3,3,2,1,3,4,2,1
24110,2,3,2,3,3,4,3,3,3,2,3,1,1,2,2,1,1
18507,2,3,2,3,4,4,2,1,3,4,4,2,1,1,1,2,1
14028,2,2,1,2,3,4,1,2,3,2,3,2,1,1,2,5,1
27535,2,3,3,1,4,3,3,1,1,2,3,3,1,1,1,1,1
31620,2,3,4,3,1,4,3,1,2,2,2,3,1,2,4,2,1
15048,2,1,4,1,4,2,3,1,1,1,2,1,1,1,1,1,1
35502,2,1,1,3,1,4,1,1,2,2,1,4,3,1,1,1,1
52109,2,3,4,3,3,3,3,3,2,2,2,2,1,1,2,2,1
42715,2,3,3,2,3,3,2,3,1,1,1,1,2,3,3,1,1
27158,2,3,1,2,1,4,3,3,1,1,3,3,1,1,1,1,2
21138,2,3,2,1,3,4,3,1,1,1,3,2,1,1,1,2,1
23201,2,3,3,2,4,2,2,1,1,1,2,2,3,1,1,2,1
28536,2,2,2,3,4,3,2,3,2,2,4,1,2,2,2,2,1
13543,2,3,2,2,3,4,3,1,2,1,3,2,1,3,4,1,1
